Group Code*,Title*,Description,Group Set*,Self Enroll*
FACIMED_gc_-_gc_Fale_gc_com_gc_o_gc_Tutor,FACIMED - Fale com o Tutor,,Fale_com_o_Tutor,N
NABUCO_gc_-_gc_Fale_gc_com_gc_o_gc_Tutor,NABUCO - Fale com o Tutor,,Fale_com_o_Tutor,N
UNAMA_gc_-_gc_Fale_gc_com_gc_o_gc_Tutor,UNAMA - Fale com o Tutor,,Fale_com_o_Tutor,N
UNINASSAU_gc_-_gc_Fale_gc_com_gc_o_gc_Tutor,UNINASSAU - Fale com o Tutor,,Fale_com_o_Tutor,N
UNINORTE_gc_-_gc_Fale_gc_com_gc_o_gc_Tutor,UNINORTE - Fale com o Tutor,,Fale_com_o_Tutor,N
UNIVERITAS_gc_-_gc_Fale_gc_com_gc_o_gc_Tutor,UNIVERITAS - Fale com o Tutor,,Fale_com_o_Tutor,N
FACIMED_gc_-_gc_Desafio_gc_Colaborativo,FACIMED - Desafio Colaborativo,,Desafio_Colaborativo,N
NABUCO_gc_-_gc_Desafio_gc_Colaborativo,NABUCO - Desafio Colaborativo,,Desafio_Colaborativo,N
UNAMA_gc_-_gc_Desafio_gc_Colaborativo,UNAMA - Desafio Colaborativo,,Desafio_Colaborativo,N
UNINASSAU_gc_-_gc_Desafio_gc_Colaborativo,UNINASSAU - Desafio Colaborativo,,Desafio_Colaborativo,N
UNINORTE_gc_-_gc_Desafio_gc_Colaborativo,UNINORTE - Desafio Colaborativo,,Desafio_Colaborativo,N
UNIVERITAS_gc_-_gc_Desafio_gc_Colaborativo,UNIVERITAS - Desafio Colaborativo,,Desafio_Colaborativo,N
