Group Code*,Title*,Description,Group Set*,Self Enroll*
Formacao_gc_de_gc_Docente_gc_para_gc_Educacao_gc_Basica_gc_-_gc_Pedagogia,Formação de Docente para Educação Básica - Pedagogia,,Coligada,N
Formacao_gc_Pedagogica_gc_em_gc_Matematica_gc_para_gc_Graduados,Formação Pedagógica em Matemática para Graduados,,Coligada,N
Formacao_gc_Pedagogica_gc_em_gc_Pedagogia_gc_para_gc_Graduados,Formação Pedagógica em Pedagogia para Graduados,,Coligada,N
Segunda_gc_Licenciatura_gc_em_gc_Geografia,Segunda Licenciatura em Geografia,,Coligada,N
Segunda_gc_Licenciatura_gc_em_gc_Historia,Segunda Licenciatura em História,,Coligada,N
Segunda_gc_Licenciatura_gc_em_gc_Letras_gc_-_gc_Portugues,Segunda Licenciatura em Letras - Português,,Coligada,N
Segunda_gc_Licenciatura_gc_em_gc_Matematica,Segunda Licenciatura em Matemática,,Coligada,N
Segunda_gc_Licenciatura_gc_em_gc_Pedagogia,Segunda Licenciatura em Pedagogia,,Coligada,N
Formacao_gc_de_gc_Docente_gc_para_gc_Educacao_gc_Basica_gc_-_gc_Geografia,Formação de Docente para Educação Básica - Geografia,,Coligada,N
Formacao_gc_de_gc_Docente_gc_para_gc_Educacao_gc_Basica_gc_-_gc_Letras,Formação de Docente para Educação Básica - Letras,,Coligada,N
Segunda_gc_Licenciatura_gc_em_gc_Letras_gc_-_gc_Espanhol,Segunda Licenciatura em Letras - Espanhol,,Coligada,N
Segunda_gc_Licenciatura_gc_em_gc_Letras_gc_-_gc_Ingles,Segunda Licenciatura em Letras - Inglês,,Coligada,N
Formacao_gc_de_gc_Docente_gc_para_gc_Educacao_gc_Basica_gc_-_gc_Historia,Formação de Docente para Educação Básica - História,,Coligada,N
