Group Code*,Title*,Description,Group Set*,Self Enroll*
Analise_gc_e_gc_Desenvolvimento_gc_de_gc_Sistema,Análise e Desenvolvimento de Sistema,,Coligada,N
Ciencia_gc_de_gc_Dados_gc_-_gc_Data_gc_Science,Ciência de Dados/Data Science,,Coligada,N
Coding,Coding,,Coligada,N
Computacao_gc_em_gc_Nuvem,Computação em Nuvem,,Coligada,N
Digital_gc_Security,Digital Security,,Coligada,N
Empreendedorismo_gc_Digital,Empreendedorismo Digital,,Coligada,N
Experiencia_gc_do_gc_Usuario_gc_e_gc_Modelagem_gc_de_gc_Projetos_gc_Inovadores,Experiência do Usuário e Modelagem de Projetos Inovadores,,Coligada,N
Game_gc_Design,Game Design,,Coligada,N
Inteligencia_gc_Artificial,Inteligência Artificial,,Coligada,N
Internet_gc_das_gc_Coisas,Internet das Coisas,,Coligada,N
Service_gc_Design,Service Design,,Coligada,N
Tecnologia_gc_da_gc_Informacao,Tecnologia da Informação,,Coligada,N
